#Date,Time,Vendor,Site,Dept,filer,T1_GB,T3_GB,T3B_GB,T4_GB,aggr,total,used,avail 

2015-07-21,17:30,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n04_icearch_sata_4000_01,200801,0,200801
2015-07-21,17:30,netapp,sj,itencnas01,sj-itencnas01,1,0,0,0,n05_ice_sas_1200_01,17068,1,17067
2015-07-21,17:30,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n05_loaner_sas_01,172688,0,172688
2015-07-21,17:30,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n06_ice_sas_1200_01,17068,0,17068
2015-07-21,17:30,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n06_loaner_sata_01,238730,0,238730
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_01,492,301,190
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_02,1102,301,800
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_03,1490,301,1188
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_04,1490,301,1188
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_05,1004,301,702
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_06,1004,301,702
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,11996,0,0,0,n01_sas_450_01,29389,11996,17392
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,13048,0,0,0,n01_sas_600_01,18702,13048,5653
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,15780,0,0,n01_sata_1000_01,40224,15780,24444
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,36620,0,0,0,n02_sas_450_01,51431,36620,14810
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,0,0,73862,n03_arch_sata_2000_01,87918,73862,14055
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,0,0,0,n03_arch_sata_4000_01,60240,0,60240
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,0,0,77973,n04_arch_sata_2000_01,87918,77973,9944
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,0,0,0,n04_icearch_sata_4000_01,133867,0,133867
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,23,0,0,0,n05_ice_sas_1200_01,17068,23,17044
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,0,0,0,n05_loaner_sas_01,301200,0,301200
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,2,0,0,0,n06_ice_sas_1200_01,17068,2,17065
2015-07-21,17:30,netapp,pg,itencnas01,pg-itencnas01,0,11207,0,0,n06_loaner_sata_01,287815,11207,276607
2015-07-21,17:30,netapp,pg,itcrncnas01,pg-itcrncnas01,251,0,0,0,aggr0_pg_itcrncnas01_01,367,251,115
2015-07-21,17:30,netapp,pg,itcrncnas01,pg-itcrncnas01,251,0,0,0,aggr0_pg_itcrncnas01_02,367,251,115
2015-07-21,17:30,netapp,pg,itcrncnas01,pg-itcrncnas01,41308,0,0,0,n01_sas_450_01,54002,41308,12693
2015-07-21,17:30,netapp,pg,itcrncnas01,pg-itcrncnas01,0,28241,0,0,n01_sata_1000_01,43204,28241,14963
2015-07-21,17:30,netapp,pg,itcrncnas01,pg-itcrncnas01,31429,0,0,0,n02_sas_450_01,45920,31429,14491
2015-07-21,17:30,netapp,pg,itcrncnas01,pg-itcrncnas01,0,44805,0,0,n02_sata_1000_01,59592,44805,14786
