#Date,Time,Vendor,Site,Dept,filer,T1,T3,T3B,T4,aggr,total,used,avail 

2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,2745GB,0,0,0,fc_aggr1,9551GB,2745GB,6806GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,0,66045GB,0,0,sata01_64,107266GB,66045GB,41220GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,0,415GB,0,0,sata_aggr3,4469GB,415GB,4054GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,0,7281GB,0,0,sata_aggr1,14153GB,7281GB,6871GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,0,5525GB,0,0,sata_aggr2,10428GB,5525GB,4902GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,0,3001GB,0,0,sata02_64,13408GB,3001GB,10406GB
2015-07-06,11:33,netapp,pg,itnas03b,pg-itnas03b,51291GB,0,0,0,sas01_64,112780GB,51291GB,61489GB
2015-07-06,11:33,netapp,pg,itnas03b,pg-itnas03b,4119GB,0,0,0,sas_aggr1,6612GB,4119GB,2493GB
2015-07-06,11:33,netapp,pg,itnas03b,pg-itnas03b,5856GB,0,0,0,fc_aggr1,14694GB,5856GB,8837GB
2015-07-06,11:33,netapp,pg,itnas03b,pg-itnas03b,6175GB,0,0,0,fc_aggr0,14327GB,6175GB,8151GB
2015-07-06,11:33,netapp,pg,itnas03b,pg-itnas03b,0,5585GB,0,0,sata_aggr0,14153GB,5585GB,8568GB
2015-07-06,11:33,netapp,pg,itnas03b,pg-itnas03b,0,5923GB,0,0,sata_aggr1,14153GB,5923GB,8229GB
2015-07-06,11:33,netapp,pg,swnas01a,pg-swnas01a,836GB,0,0,0,sas_450_01,6612GB,836GB,5776GB
2015-07-06,11:33,netapp,pg,swnas01b,pg-swnas01b,0,35306GB,0,0,sata01_64,40224GB,35306GB,4917GB
2015-07-06,11:33,netapp,pg,swnas01b,pg-swnas01b,18450GB,0,0,0,sas01_64,29021GB,18450GB,10571GB
2015-07-06,11:33,netapp,jp,itnas01,jp-itnas01,0,23779GB,0,0,sata64_1000_01,26816GB,23779GB,3037GB
2015-07-06,11:33,netapp,jp,itnas01,jp-itnas01,0,710GB,0,0,sata64_1000_root,744GB,710GB,34GB
2015-07-06,11:33,netapp,hk,itnas01,hk-itnas01,0,17181GB,0,0,sata64_1000_01,26816GB,17181GB,9634GB
2015-07-06,11:33,netapp,to,swnas01a,to-swnas01a,25233GB,0,0,0,sas01,29389GB,25233GB,4156GB
2015-07-06,11:33,netapp,to,swnas01a,to-swnas01a,0,77118GB,0,0,sata01,89388GB,77118GB,12269GB
2015-07-06,11:33,netapp,to,swnas01b,to-swnas01b,0,22739GB,0,0,sata01,26816GB,22739GB,4076GB
2015-07-06,11:33,netapp,to,swnas01b,to-swnas01b,68633GB,0,0,0,sas01,81112GB,68633GB,12478GB
2015-07-06,11:33,netapp,sj,drnas02,sj-drnas02,0,79978GB,0,0,sata64_2000_03,107289GB,79978GB,27311GB
2015-07-06,11:33,netapp,sj,drnas02,sj-drnas02,0,81152GB,0,0,sata64_2000_04,101329GB,81152GB,20177GB
2015-07-06,11:33,netapp,sj,drnas02,sj-drnas02,0,121576GB,0,0,sata64_2000_02,134112GB,121576GB,12536GB
2015-07-06,11:33,netapp,sj,drnas02,sj-drnas02,0,115254GB,0,0,sata64_2000_01,134112GB,115254GB,18857GB
2015-07-06,11:33,netapp,at,itengnnas01,at-itengnnas01,0,3326GB,0,0,sata64_1000_root,5959GB,3326GB,2632GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,0,45978GB,0,0,sata64_bk13,80467GB,45978GB,34489GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,0,48334GB,0,0,sata64_bk14,80467GB,48334GB,32133GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,0,23208GB,0,0,sata64_bk15,53644GB,23208GB,30436GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,0,41713GB,0,0,sata64_bk11,76725GB,41713GB,35011GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,675GB,0,0,0,aggr0,4469GB,675GB,3793GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,0,9793GB,0,0,sata64_1000_1,13408GB,9793GB,3614GB
2015-07-06,11:33,netapp,pg,drnas02,pg-drnas02,0,38255GB,0,0,sata64_bk12,46184GB,38255GB,7928GB
2015-07-06,11:33,netapp,sj,engnas03a,sj-engnas03a,13722GB,0,0,0,sas01_64,15257GB,13722GB,1534GB
2015-07-06,11:33,netapp,sj,engnas03b,sj-engnas03b,13765GB,0,0,0,sas01_64,15257GB,13765GB,1492GB


#Date,Time,Vendor,Site,Dept,filer,T1,T3,T3B,T4,aggr,total,used,avail 

2015-07-06,11:33,isilon,sj,ice,sj-iticenas01,265.3107T,0,0,0,NULL,294.356625T,198.983025T,95.3736T
2015-07-06,11:33,isilon,sj,ice,sj-iticenas01,0,0,220.2288T,0,NULL,292.1235T,165.1716T,126.9519T
2015-07-06,11:33,isilon,sj,ice,sj-iticenas01,0,257.0048T,0,0,NULL,367.65345T,192.7536T,174.89985T
2015-07-06,11:33,isilon,sj,ice,sj-iticenas02,16.0262T,0,0,0,NULL,44.57175T,12.01965T,32.5521T
2015-07-06,11:33,isilon,sj,ice,sj-iticenas02,0,39.7028T,0,0,NULL,37.170825T,29.7771T,7.393725T
2015-07-06,11:33,isilon,pg,ice,pg-itenginas01,235.8945T,0,0,0,NULL,280.9767T,176.920875T,104.055825T
2015-07-06,11:33,isilon,pg,ice,pg-itenginas01,0,282.7154T,0,0,NULL,344.6751T,212.03655T,132.63855T
2015-07-06,11:33,isilon,pg,ice,pg-itenginas01,0,0,48.8905T,0,NULL,243.436275T,36.667875T,206.7684T
